"ENTREZID","percent"
"116228",0
"126129",0
"126328",0
"1327",0
"1337",100
"1339",100
"1340",100
"1349",0
"1351",0
"1352",100
"1353",100
"1355",100
"1374",0
"1376",0
"137682",0
"1537",100
"2182",100
"25915",0
"27089",100
"284184",0
"28958",0
"29078",0
"374291",28.5714285714286
"388753",0
"3991",0
"4694",0
"4695",0
"4697",0
"4700",0
"4702",0
"4704",0
"4705",0
"4709",0
"4714",0
"4715",0
"4716",0
"4718",0
"4719",28.5714285714286
"4720",28.5714285714286
"4722",28.5714285714286
"4723",100
"4724",0
"4726",0
"4728",28.5714285714286
"4729",100
"493753",100
"498",100
"506",100
"51079",0
"51103",0
"51241",0
"513",100
"514",0
"51422",0
"5346",0
"539",100
"54539",0
"55471",0
"55967",0
"57104",0
"6389",100
"6390",100
"6391",100
"6392",0
"65260",0
"7381",100
"7384",100
"7385",0
"7386",100
"788",0
"79133",0
"84701",0
"84987",0
"91942",0
"9377",100
