"ENTREZID","percent"
"1175",100
"1213",100
"126328",0
"1327",0
"1337",100
"1339",100
"1340",100
"1349",0
"1351",0
"1537",100
"23236",0
"27089",100
"2891",0
"2892",0
"2893",0
"2902",0
"2904",0
"291",100
"3708",0
"374291",28.5714285714286
"3798",100
"3800",100
"4694",0
"4695",0
"4697",0
"4700",0
"4702",0
"4704",0
"4705",0
"4709",0
"4714",0
"4715",0
"4716",0
"4718",0
"4719",28.5714285714286
"4720",28.5714285714286
"4722",28.5714285714286
"4723",100
"4724",0
"4726",0
"4728",28.5714285714286
"4729",100
"498",100
"506",100
"51079",0
"513",100
"514",0
"5331",0
"5332",0
"539",100
"54205",100
"54539",0
"55967",0
"6389",100
"6390",100
"6391",100
"6392",0
"6506",0
"6507",0
"7019",0
"7381",100
"7384",100
"7385",0
"7386",100
"84701",0
"9377",100
