"ENTREZID","percent"
"120892",0
"126328",0
"1327",0
"1337",100
"1339",100
"1340",100
"1349",0
"1351",0
"1537",100
"23236",0
"27089",100
"27429",0
"2891",0
"2892",0
"2893",0
"2902",0
"2903",0
"2904",0
"2906",0
"291",100
"2911",0
"29110",0
"3028",0
"3708",0
"3709",0
"374291",28.5714285714286
"3798",100
"3800",100
"4694",0
"4695",0
"4700",0
"4702",0
"4704",0
"4705",0
"4709",0
"4714",0
"4715",0
"4716",0
"4718",0
"4719",28.5714285714286
"4720",28.5714285714286
"4722",28.5714285714286
"4723",100
"4724",0
"4726",0
"4728",28.5714285714286
"4729",100
"498",100
"506",100
"5071",0
"51079",0
"513",100
"514",0
"5331",0
"5332",0
"539",100
"54205",100
"54539",0
"55967",0
"6389",100
"6390",100
"6391",100
"6392",0
"65018",0
"6531",0
"7381",100
"7384",100
"7385",0
"7386",100
"80208",0
"847",100
"84701",0
"9217",100
"9377",100
"9896",100
"9927",0
"9973",0
