"ENTREZID","percent"
"126328",100
"1327",100
"1337",100
"1339",100
"1340",100
"1349",100
"1351",100
"1352",100
"1353",100
"1355",100
"1537",100
"23545",100
"27068",100
"27089",100
"374291",100
"4694",100
"4695",100
"4697",100
"4700",100
"4702",100
"4704",100
"4705",100
"4709",100
"4714",100
"4715",100
"4716",100
"4718",100
"4719",100
"4720",100
"4722",100
"4723",100
"4724",100
"4726",100
"4728",100
"4729",100
"498",100
"506",100
"51079",100
"513",100
"514",100
"523",100
"529",100
"537",100
"539",100
"54205",100
"54539",100
"55967",100
"6389",100
"6390",100
"6391",100
"6392",100
"7381",100
"7384",100
"7385",100
"7386",100
"84701",100
"9377",100
