"ENTREZID","percent"
"116228",100
"126129",100
"126328",100
"1327",100
"1337",100
"1339",100
"1340",100
"1349",100
"1351",100
"1352",100
"1353",100
"1355",100
"1374",100
"1376",100
"137682",100
"1537",100
"2182",100
"25915",100
"27089",100
"284184",100
"28958",100
"29078",100
"374291",100
"388753",100
"3991",100
"4694",100
"4695",100
"4697",100
"4700",100
"4702",100
"4704",100
"4705",100
"4709",100
"4714",100
"4715",100
"4716",100
"4718",100
"4719",100
"4720",100
"4722",100
"4723",100
"4724",100
"4726",100
"4728",100
"4729",100
"493753",100
"498",100
"506",100
"51079",100
"51103",100
"51241",100
"513",100
"514",100
"51422",100
"5346",100
"539",100
"54539",100
"55471",100
"55967",100
"57104",100
"6389",100
"6390",100
"6391",100
"6392",100
"65260",100
"7381",100
"7384",100
"7385",100
"7386",100
"788",100
"79133",100
"84701",100
"84987",100
"91942",100
"9377",100
