"ENTREZID","percent"
"126328",100
"1327",100
"1337",100
"1339",100
"1340",100
"1349",0
"1351",0
"1537",100
"208",100
"27089",100
"3630",0
"3643",100
"374291",100
"4694",100
"4695",100
"4697",100
"4700",100
"4702",100
"4704",100
"4705",100
"4709",100
"4714",100
"4715",100
"4716",100
"4718",100
"4719",100
"4720",100
"4722",100
"4723",100
"4724",100
"4726",100
"4728",100
"4729",100
"51079",100
"51422",100
"5290",50
"5293",100
"5295",100
"5296",100
"5313",100
"54205",100
"54539",100
"55967",100
"6389",100
"6390",100
"6391",100
"6392",100
"7381",100
"7384",100
"7385",100
"7386",100
"84701",100
"9377",100
